date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-05-12,1683849600000,BNBETH,0.17130000,0.17360000,0.16970000,0.17070000,17796.77100000,1683935999999,3065.08589100,15192,8552.90900000,1473.42959230,0
2023-05-13,1683936000000,BNBETH,0.17070000,0.17320000,0.17000000,0.17300000,9558.38200000,1684022399999,1643.86843500,9224,5053.81600000,869.28358970,0
2023-05-14,1684022400000,BNBETH,0.17310000,0.17370000,0.17180000,0.17350000,9329.46400000,1684108799999,1613.22576310,9079,4843.77500000,837.73637850,0
2023-05-15,1684108800000,BNBETH,0.17340000,0.17400000,0.17120000,0.17250000,12215.25200000,1684195199999,2105.91018100,10362,5816.98700000,1003.16503100,0
2023-05-16,1684195200000,BNBETH,0.17250000,0.17310000,0.17000000,0.17070000,7229.89600000,1684281599999,1238.55824110,7643,3482.75700000,596.65961430,0
2023-05-17,1684281600000,BNBETH,0.17070000,0.17350000,0.17040000,0.17240000,9098.24000000,1684367999999,1560.48962890,8760,5009.47400000,859.50843090,0
2023-05-18,1684368000000,BNBETH,0.17240000,0.17400000,0.17050000,0.17170000,9742.59100000,1684454399999,1674.40296880,9362,5427.96400000,933.04316920,0
2023-05-19,1684454400000,BNBETH,0.17180000,0.17190000,0.16970000,0.17040000,7855.23000000,1684540799999,1341.77608080,7673,3439.46300000,587.51012100,0
2023-05-20,1684540800000,BNBETH,0.17050000,0.17120000,0.17000000,0.17070000,5939.47900000,1684627199999,1012.47550110,6181,2792.93500000,476.25008410,0
2023-05-21,1684627200000,BNBETH,0.17080000,0.17160000,0.16950000,0.16980000,7240.77100000,1684713599999,1236.83151700,7175,3164.24600000,540.70784430,0
2023-05-22,1684713600000,BNBETH,0.16980000,0.17110000,0.16930000,0.17010000,7489.55500000,1684799999999,1274.11494480,7882,3774.19300000,642.29259870,0
2023-05-23,1684800000000,BNBETH,0.17010000,0.17030000,0.16810000,0.16890000,12672.43300000,1684886399999,2144.47075300,10499,6084.42300000,1029.85561450,0
2023-05-24,1684886400000,BNBETH,0.16900000,0.17130000,0.16800000,0.16990000,13094.92700000,1684972799999,2226.22901540,10091,5098.65100000,867.06776470,0
2023-05-25,1684972800000,BNBETH,0.16990000,0.17170000,0.16810000,0.16870000,11660.71400000,1685059199999,1984.11858200,9476,5652.54400000,962.76486820,0
2023-05-26,1685059200000,BNBETH,0.16860000,0.16970000,0.16710000,0.16790000,13344.33200000,1685145599999,2244.83369190,10391,6343.68900000,1067.14971920,0
2023-05-27,1685145600000,BNBETH,0.16780000,0.16810000,0.16670000,0.16790000,6265.92500000,1685231999999,1048.28788020,6006,3020.66900000,505.44836310,0
