date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-05-12,1683849600000,ENJBTC,0.00001232,0.00001260,0.00001211,0.00001257,413219.40000000,1683935999999,5.10443444,1998,189019.80000000,2.33618806,0
2023-05-13,1683936000000,ENJBTC,0.00001257,0.00001257,0.00001227,0.00001240,250840.20000000,1684022399999,3.11644549,1019,130415.80000000,1.62164347,0
2023-05-14,1684022400000,ENJBTC,0.00001242,0.00001250,0.00001230,0.00001249,210394.10000000,1684108799999,2.61410213,696,107291.30000000,1.33310880,0
2023-05-15,1684108800000,ENJBTC,0.00001251,0.00001257,0.00001234,0.00001245,311413.20000000,1684195199999,3.87647065,1074,199275.50000000,2.48009777,0
2023-05-16,1684195200000,ENJBTC,0.00001246,0.00001285,0.00001233,0.00001281,483283.60000000,1684281599999,6.06570620,1647,121765.80000000,1.53153234,0
2023-05-17,1684281600000,ENJBTC,0.00001283,0.00001360,0.00001281,0.00001298,529978.20000000,1684367999999,6.98010141,2075,263725.40000000,3.47565829,0
2023-05-18,1684368000000,ENJBTC,0.00001298,0.00001304,0.00001267,0.00001287,287956.60000000,1684454399999,3.70379535,1999,125450.80000000,1.61764444,0
2023-05-19,1684454400000,ENJBTC,0.00001285,0.00001301,0.00001277,0.00001285,234391.40000000,1684540799999,3.02276246,938,123424.90000000,1.59184716,0
2023-05-20,1684540800000,ENJBTC,0.00001285,0.00001291,0.00001271,0.00001274,449223.60000000,1684627199999,5.76135895,963,340750.10000000,4.37303879,0
2023-05-21,1684627200000,ENJBTC,0.00001274,0.00001278,0.00001250,0.00001274,333959.60000000,1684713599999,4.23237755,1581,181806.10000000,2.30409773,0
2023-05-22,1684713600000,ENJBTC,0.00001273,0.00001276,0.00001253,0.00001260,529611.50000000,1684799999999,6.67606166,1263,137673.80000000,1.73670015,0
2023-05-23,1684800000000,ENJBTC,0.00001260,0.00001263,0.00001240,0.00001248,404943.00000000,1684886399999,5.06865392,912,108135.50000000,1.35218815,0
2023-05-24,1684886400000,ENJBTC,0.00001245,0.00001250,0.00001221,0.00001234,311213.30000000,1684972799999,3.85042948,1002,135417.60000000,1.67509397,0
2023-05-25,1684972800000,ENJBTC,0.00001236,0.00001274,0.00001215,0.00001259,571513.10000000,1685059199999,7.13027610,1902,264343.90000000,3.30157502,0
2023-05-26,1685059200000,ENJBTC,0.00001257,0.00001261,0.00001225,0.00001238,429698.00000000,1685145599999,5.35190124,1910,193473.30000000,2.41205852,0
2023-05-27,1685145600000,ENJBTC,0.00001238,0.00001256,0.00001231,0.00001253,249459.80000000,1685231999999,3.09805389,1517,135914.20000000,1.68820598,0
2023-05-28,1685232000000,ENJBTC,0.00001253,0.00001259,0.00001216,0.00001220,365924.70000000,1685318399999,4.54027148,1628,181196.30000000,2.25012869,0
2023-05-29,1685318400000,ENJBTC,0.00001221,0.00001223,0.00001203,0.00001203,220076.40000000,1685404799999,2.67116940,1082,99178.50000000,1.20412015,0
2023-05-30,1685404800000,ENJBTC,0.00001205,0.00001217,0.00001195,0.00001216,184409.80000000,1685491199999,2.22305959,1024,86831.20000000,1.04699254,0
2023-05-31,1685491200000,ENJBTC,0.00001213,0.00001222,0.00001185,0.00001192,189909.10000000,1685577599999,2.28949347,1006,93593.80000000,1.12939539,0
2023-06-01,1685577600000,ENJBTC,0.00001189,0.00001233,0.00001189,0.00001229,562261.40000000,1685663999999,6.87395776,2076,139206.10000000,1.69302643,0
2023-06-02,1685664000000,ENJBTC,0.00001227,0.00001235,0.00001217,0.00001222,478422.80000000,1685750399999,5.85242798,974,377477.90000000,4.61598742,0
2023-06-03,1685750400000,ENJBTC,0.00001221,0.00001222,0.00001203,0.00001218,160205.00000000,1685836799999,1.94675661,837,94344.70000000,1.14682161,0
2023-06-04,1685836800000,ENJBTC,0.00001219,0.00001247,0.00001215,0.00001236,374094.40000000,1685923199999,4.63371280,1061,125128.00000000,1.54447437,0
2023-06-05,1685923200000,ENJBTC,0.00001237,0.00001300,0.00001175,0.00001200,1149353.10000000,1686009599999,14.22645434,6442,620217.50000000,7.70720798,0
2023-06-06,1686009600000,ENJBTC,0.00001199,0.00001247,0.00001187,0.00001187,633626.00000000,1686095999999,7.72968438,3404,307008.20000000,3.74525487,0
2023-06-07,1686096000000,ENJBTC,0.00001187,0.00001187,0.00001129,0.00001138,365460.30000000,1686182399999,4.22322424,1590,151723.30000000,1.75391179,0
2023-06-08,1686182400000,ENJBTC,0.00001137,0.00001163,0.00001112,0.00001133,1276104.50000000,1686268799999,14.49429072,3490,409626.90000000,4.63964898,0
2023-06-09,1686268800000,ENJBTC,0.00001130,0.00001135,0.00001088,0.00001098,1242106.10000000,1686355199999,13.82654034,1780,623916.40000000,6.94611598,0
2023-06-10,1686355200000,ENJBTC,0.00001097,0.00001097,0.00000890,0.00000970,2237237.60000000,1686441599999,21.55628428,5494,757714.80000000,7.33212262,0
