date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-05-12,1683849600000,ETHBTC,0.06652600,0.06780000,0.06608700,0.06745800,62878.92900000,1683935999999,4214.48460718,170467,31585.26580000,2117.01759257,0
2023-05-13,1683936000000,ETHBTC,0.06745800,0.06753800,0.06673000,0.06704300,36462.00280000,1684022399999,2448.22314925,92634,17788.82160000,1194.43782352,0
2023-05-14,1684022400000,ETHBTC,0.06704400,0.06739200,0.06669000,0.06685000,34055.64070000,1684108799999,2284.64254746,88199,16540.76780000,1109.76230171,0
2023-05-15,1684108800000,ETHBTC,0.06684900,0.06733600,0.06650000,0.06686300,41528.58960000,1684195199999,2775.64430884,87407,20455.72540000,1367.14178460,0
2023-05-16,1684195200000,ETHBTC,0.06686300,0.06764300,0.06658600,0.06747100,26280.93190000,1684281599999,1764.66772150,57385,14445.17690000,969.99911960,0
2023-05-17,1684281600000,ETHBTC,0.06747100,0.06755300,0.06647100,0.06648900,26148.71560000,1684367999999,1753.42020236,62316,13592.16710000,911.43390021,0
2023-05-18,1684368000000,ETHBTC,0.06648900,0.06751000,0.06638300,0.06714000,25394.00290000,1684454399999,1697.77724806,45855,12728.87420000,850.63871176,0
2023-05-19,1684454400000,ETHBTC,0.06714000,0.06764000,0.06705000,0.06742000,23560.39290000,1684540799999,1587.57800317,53667,12346.96180000,831.99072201,0
2023-05-20,1684540800000,ETHBTC,0.06743000,0.06760000,0.06709000,0.06713000,12079.48090000,1684627199999,813.93134076,32892,5922.69830000,399.10498403,0
2023-05-21,1684627200000,ETHBTC,0.06713000,0.06749000,0.06685000,0.06747000,21912.66190000,1684713599999,1472.53691496,47172,11147.95100000,749.12427806,0
2023-05-22,1684713600000,ETHBTC,0.06747000,0.06781000,0.06729000,0.06769000,29215.23640000,1684799999999,1974.91234515,67905,14895.57800000,1006.92744974,0
2023-05-23,1684800000000,ETHBTC,0.06769000,0.06833000,0.06670000,0.06811000,47392.65190000,1684886399999,3219.90189895,86529,23430.14640000,1592.51998955,0
2023-05-24,1684886400000,ETHBTC,0.06812000,0.06840000,0.06779000,0.06836000,37543.29270000,1684972799999,2557.62287439,75171,18842.62690000,1283.80524744,0
2023-05-25,1684972800000,ETHBTC,0.06836000,0.06852400,0.06780000,0.06821000,35087.94530000,1685059199999,2392.32752398,72111,16580.67270000,1130.88544065,0
2023-05-26,1685059200000,ETHBTC,0.06821000,0.06880000,0.06808000,0.06845000,64315.55760000,1685145599999,4405.75794838,82344,22750.69060000,1557.86964106,0
2023-05-27,1685145600000,ETHBTC,0.06844000,0.06863000,0.06813000,0.06814000,12044.73370000,1685231999999,823.77444241,32381,5860.67760000,400.85630044,0
2023-05-28,1685232000000,ETHBTC,0.06814000,0.06847000,0.06682000,0.06800000,51114.76630000,1685318399999,3462.36115287,98242,25546.24420000,1731.26271006,0
2023-05-29,1685318400000,ETHBTC,0.06801000,0.06846000,0.06763000,0.06823000,33958.84860000,1685404799999,2311.60631027,55371,16058.35480000,1093.21771745,0
2023-05-30,1685404800000,ETHBTC,0.06822000,0.06882000,0.06760000,0.06862000,28514.07780000,1685491199999,1953.23922904,46514,10098.56690000,691.89859201,0
2023-05-31,1685491200000,ETHBTC,0.06861000,0.06915000,0.06833000,0.06885000,29500.81680000,1685577599999,2031.12971913,46400,14716.57580000,1013.35260919,0
2023-06-01,1685577600000,ETHBTC,0.06886000,0.06968000,0.06885000,0.06943000,23073.77530000,1685663999999,1598.17459327,48590,12009.97710000,831.92137474,0
2023-06-02,1685664000000,ETHBTC,0.06942000,0.07030000,0.06941000,0.06999000,35026.45230000,1685750399999,2446.28878076,116839,14065.90780000,982.42396408,0
2023-06-03,1685750400000,ETHBTC,0.07000000,0.07018000,0.06956000,0.06989000,11721.40290000,1685836799999,819.83659393,22310,6300.58440000,440.74848307,0
2023-06-04,1685836800000,ETHBTC,0.06988000,0.07010000,0.06950000,0.06971000,10059.22630000,1685923199999,703.21037573,22949,5075.70630000,354.85497169,0
2023-06-05,1685923200000,ETHBTC,0.06970000,0.07088000,0.06908000,0.07036000,33314.45830000,1686009599999,2333.08540151,80628,17824.28460000,1248.31983873,0
2023-06-06,1686009600000,ETHBTC,0.07037000,0.07087000,0.06906000,0.06919000,26972.36290000,1686095999999,1893.27574753,62285,12742.80110000,895.29793246,0
2023-06-07,1686096000000,ETHBTC,0.06919000,0.07006000,0.06916000,0.06956000,28288.43300000,1686182399999,1971.94208548,53501,12615.74470000,878.94090732,0
2023-06-08,1686182400000,ETHBTC,0.06956000,0.06999000,0.06941000,0.06964000,13488.25170000,1686268799999,939.68470731,26295,6806.40090000,474.26349295,0
