date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2019-06-30,1561852800000,EVXETH,0.00242430,0.00283480,0.00232000,0.00240750,380298.00000000,1561939199999,954.85973390,3155,230575.00000000,578.93296330,0
2019-07-01,1561939200000,EVXETH,0.00238040,0.00252610,0.00237520,0.00239740,230454.00000000,1562025599999,559.95274180,1461,151900.00000000,369.02661230,0
2019-07-02,1562025600000,EVXETH,0.00238850,0.00245920,0.00221850,0.00222780,187612.00000000,1562111999999,439.14534040,1512,124200.00000000,292.57367790,0
2019-07-03,1562112000000,EVXETH,0.00222780,0.00252420,0.00213060,0.00228080,268905.00000000,1562198399999,616.23864640,2042,192876.00000000,442.21071320,0
2019-07-04,1562198400000,EVXETH,0.00226810,0.00240900,0.00220800,0.00226380,240033.00000000,1562284799999,547.20557140,1402,166121.00000000,378.32133120,0
2019-07-05,1562284800000,EVXETH,0.00226690,0.00230040,0.00215040,0.00224030,148251.00000000,1562371199999,332.78678290,919,114176.00000000,256.64863000,0
2019-07-06,1562371200000,EVXETH,0.00225290,0.00228600,0.00211010,0.00218420,230774.00000000,1562457599999,508.90783210,1360,160215.00000000,354.23262510,0
2019-07-07,1562457600000,EVXETH,0.00218840,0.00227960,0.00211210,0.00213620,234665.00000000,1562543999999,514.90863530,1133,193104.00000000,424.14567930,0
2019-07-08,1562544000000,EVXETH,0.00214730,0.00227240,0.00196210,0.00200340,166483.00000000,1562630399999,351.98249930,1209,104882.00000000,222.47743220,0
2019-07-09,1562630400000,EVXETH,0.00199940,0.00203190,0.00184850,0.00193900,243644.00000000,1562716799999,477.20403520,1198,191522.00000000,375.59801120,0
2019-07-10,1562716800000,EVXETH,0.00194790,0.00201170,0.00186570,0.00189870,226140.00000000,1562803199999,437.27854560,819,188043.00000000,363.73914420,0
2019-07-11,1562803200000,EVXETH,0.00189870,0.00194580,0.00176850,0.00179970,165788.00000000,1562889599999,305.43442480,648,131261.00000000,241.92367850,0
2019-07-12,1562889600000,EVXETH,0.00177690,0.00202320,0.00175340,0.00189900,201216.00000000,1562975999999,378.23771040,807,165382.00000000,310.84629180,0
2019-07-13,1562976000000,EVXETH,0.00189900,0.00208570,0.00189090,0.00190490,253171.00000000,1563062399999,503.95592540,1022,146697.00000000,289.52948400,0
2019-07-14,1563062400000,EVXETH,0.00192120,0.00205000,0.00187600,0.00200410,219318.00000000,1563148799999,429.87740750,888,183149.00000000,358.82462650,0
2019-07-15,1563148800000,EVXETH,0.00200180,0.00209960,0.00180300,0.00184810,317182.00000000,1563235199999,617.85122990,1414,217222.00000000,426.37570720,0
2019-07-16,1563235200000,EVXETH,0.00186280,0.00193880,0.00182140,0.00182140,208838.00000000,1563321599999,390.87300590,794,157912.00000000,295.50961200,0
2019-07-17,1563321600000,EVXETH,0.00183110,0.00187310,0.00176630,0.00180150,270358.00000000,1563407999999,493.28408060,867,227782.00000000,416.14319430,0
2019-07-18,1563408000000,EVXETH,0.00180150,0.00187300,0.00177860,0.00180440,221759.00000000,1563494399999,402.21085820,769,173469.00000000,314.72350630,0
2019-07-19,1563494400000,EVXETH,0.00180440,0.00183790,0.00178440,0.00181540,152040.00000000,1563580799999,276.50884150,514,126714.00000000,230.60538140,0
2019-07-20,1563580800000,EVXETH,0.00181540,0.00184750,0.00178520,0.00182340,184009.00000000,1563667199999,334.98599080,641,152851.00000000,278.31255150,0
2019-07-21,1563667200000,EVXETH,0.00182340,0.00202990,0.00181310,0.00192100,168649.00000000,1563753599999,323.63084590,1118,136735.00000000,261.83896810,0
2019-07-22,1563753600000,EVXETH,0.00192100,0.00195420,0.00187480,0.00190970,107304.00000000,1563839999999,204.97723570,810,71079.00000000,135.93444890,0
2019-07-23,1563840000000,EVXETH,0.00190970,0.00192740,0.00182720,0.00183940,89788.00000000,1563926399999,167.66583510,462,69746.00000000,130.27681570,0
2019-07-24,1563926400000,EVXETH,0.00183940,0.00204970,0.00183650,0.00185140,131791.00000000,1564012799999,252.47318290,739,104047.00000000,199.60702060,0
2019-07-25,1564012800000,EVXETH,0.00185140,0.00188890,0.00178540,0.00184730,68875.00000000,1564099199999,127.28642650,450,46505.00000000,86.17988890,0
2019-07-26,1564099200000,EVXETH,0.00184730,0.00188890,0.00183400,0.00188650,72147.00000000,1564185599999,134.42907080,504,55076.00000000,102.62129250,0
2019-07-27,1564185600000,EVXETH,0.00188280,0.00214720,0.00185340,0.00205260,212110.00000000,1564271999999,426.87409130,1786,124306.00000000,248.65224950,0
2019-07-28,1564272000000,EVXETH,0.00203890,0.00366080,0.00203600,0.00306190,1026255.00000000,1564358399999,3016.33266450,14931,546936.00000000,1588.22378840,0
2019-07-29,1564358400000,EVXETH,0.00308560,0.00312910,0.00260880,0.00262050,479586.00000000,1564444799999,1382.51629040,7228,228907.00000000,660.61910350,0
2019-07-30,1564444800000,EVXETH,0.00262050,0.00277800,0.00251000,0.00252810,140250.00000000,1564531199999,366.13663890,2139,59553.00000000,157.00541760,0
2019-07-31,1564531200000,EVXETH,0.00251230,0.00251330,0.00219020,0.00220600,75124.00000000,1564617599999,174.24180900,1254,26413.00000000,61.81409250,0
2019-08-01,1564617600000,EVXETH,0.00220590,0.00247000,0.00210770,0.00214000,92187.00000000,1564703999999,213.50154710,1295,41633.00000000,97.55403750,0
2019-08-02,1564704000000,EVXETH,0.00214360,0.00222550,0.00205690,0.00219480,53684.00000000,1564790399999,114.74543660,787,22274.00000000,47.76982470,0
2019-08-03,1564790400000,EVXETH,0.00216810,0.00218720,0.00196570,0.00199550,27233.00000000,1564876799999,55.79491120,517,15061.00000000,30.73200500,0
2019-08-04,1564876800000,EVXETH,0.00199550,0.00283900,0.00198300,0.00250100,421654.00000000,1564963199999,1055.25964010,7155,216440.00000000,542.46310160,0
