date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-05-12,1683849600000,IOTAETH,0.00009820,0.00010010,0.00009750,0.00009850,33331.00000000,1683935999999,3.30283170,79,14954.00000000,1.48664130,0
2023-05-13,1683936000000,IOTAETH,0.00009860,0.00009900,0.00009760,0.00009830,38221.00000000,1684022399999,3.75564620,74,20118.00000000,1.97703960,0
2023-05-14,1684022400000,IOTAETH,0.00009790,0.00009850,0.00009770,0.00009840,28697.00000000,1684108799999,2.81255890,65,12861.00000000,1.26135260,0
2023-05-15,1684108800000,IOTAETH,0.00009820,0.00009960,0.00009670,0.00009960,60516.00000000,1684195199999,5.95348120,131,31771.00000000,3.13617890,0
2023-05-16,1684195200000,IOTAETH,0.00009900,0.00010000,0.00009850,0.00009950,24451.00000000,1684281599999,2.42487440,50,11340.00000000,1.12529090,0
2023-05-17,1684281600000,IOTAETH,0.00009950,0.00010160,0.00009950,0.00010140,55392.00000000,1684367999999,5.56652110,161,35983.00000000,3.61513080,0
2023-05-18,1684368000000,IOTAETH,0.00010140,0.00010220,0.00010080,0.00010110,60099.00000000,1684454399999,6.08567830,79,21536.00000000,2.18570990,0
2023-05-19,1684454400000,IOTAETH,0.00010140,0.00010170,0.00009870,0.00010060,207251.00000000,1684540799999,20.73543080,193,92004.00000000,9.23806750,0
2023-05-20,1684540800000,IOTAETH,0.00010010,0.00010150,0.00009780,0.00009800,98330.00000000,1684627199999,9.82804000,152,47482.00000000,4.75049710,0
2023-05-21,1684627200000,IOTAETH,0.00009830,0.00009860,0.00009680,0.00009770,33824.00000000,1684713599999,3.30278720,56,20830.00000000,2.03862680,0
2023-05-22,1684713600000,IOTAETH,0.00009790,0.00010140,0.00009680,0.00010080,105985.00000000,1684799999999,10.55586630,145,49316.00000000,4.90830510,0
2023-05-23,1684800000000,IOTAETH,0.00010080,0.00010390,0.00009960,0.00010330,113020.00000000,1684886399999,11.50219910,215,46404.00000000,4.74141840,0
2023-05-24,1684886400000,IOTAETH,0.00010280,0.00010600,0.00010260,0.00010560,90997.00000000,1684972799999,9.53037090,197,43701.00000000,4.57411020,0
2023-05-25,1684972800000,IOTAETH,0.00010610,0.00010800,0.00010440,0.00010750,63223.00000000,1685059199999,6.72304650,160,30239.00000000,3.21981950,0
2023-05-26,1685059200000,IOTAETH,0.00010680,0.00010920,0.00010560,0.00010560,45691.00000000,1685145599999,4.91303070,92,21085.00000000,2.26985310,0
2023-05-27,1685145600000,IOTAETH,0.00010530,0.00010810,0.00010460,0.00010780,98706.00000000,1685231999999,10.50610530,176,48414.00000000,5.16098350,0
2023-05-28,1685232000000,IOTAETH,0.00010790,0.00011100,0.00010540,0.00010570,279622.00000000,1685318399999,30.33789580,277,99297.00000000,10.79094960,0
2023-05-29,1685318400000,IOTAETH,0.00010560,0.00011120,0.00010390,0.00011110,120256.00000000,1685404799999,12.95175390,250,71847.00000000,7.73688220,0
2023-05-30,1685404800000,IOTAETH,0.00011090,0.00011850,0.00010590,0.00010590,386628.00000000,1685491199999,43.80395950,805,193473.00000000,22.10158790,0
2023-05-31,1685491200000,IOTAETH,0.00010590,0.00010960,0.00010440,0.00010660,217321.00000000,1685577599999,23.15312580,458,110958.00000000,11.85738210,0
2023-06-01,1685577600000,IOTAETH,0.00010610,0.00011160,0.00010610,0.00010740,171713.00000000,1685663999999,18.75126600,267,107682.00000000,11.77561100,0
2023-06-02,1685664000000,IOTAETH,0.00010700,0.00010760,0.00010350,0.00010510,97738.00000000,1685750399999,10.30163530,211,34163.00000000,3.60935210,0
2023-06-03,1685750400000,IOTAETH,0.00010440,0.00011070,0.00010420,0.00010920,125531.00000000,1685836799999,13.44166460,260,49195.00000000,5.26752230,0
2023-06-04,1685836800000,IOTAETH,0.00010890,0.00010940,0.00010640,0.00010760,80383.00000000,1685923199999,8.67654560,177,36002.00000000,3.89099300,0
2023-06-05,1685923200000,IOTAETH,0.00010780,0.00010860,0.00010020,0.00010180,129185.00000000,1686009599999,13.43363710,258,58535.00000000,6.08923850,0
2023-06-06,1686009600000,IOTAETH,0.00010170,0.00010210,0.00009730,0.00009940,101374.00000000,1686095999999,10.08301770,198,37792.00000000,3.75900390,0
2023-06-07,1686096000000,IOTAETH,0.00009900,0.00009900,0.00009640,0.00009840,68957.00000000,1686182399999,6.72818250,154,37604.00000000,3.66973150,0
2023-06-08,1686182400000,IOTAETH,0.00009830,0.00009890,0.00009690,0.00009700,53125.00000000,1686268799999,5.20275440,117,14897.00000000,1.46369160,0
2023-06-09,1686268800000,IOTAETH,0.00009720,0.00009760,0.00009570,0.00009600,68335.00000000,1686355199999,6.60257780,168,34743.00000000,3.36278290,0
2023-06-10,1686355200000,IOTAETH,0.00009550,0.00009550,0.00007530,0.00009000,305659.00000000,1686441599999,26.06194695,424,207284.00000000,17.51659420,0
2023-06-11,1686441600000,IOTAETH,0.00008990,0.00009050,0.00008820,0.00009050,70528.00000000,1686527999999,6.30204860,108,21251.00000000,1.90110860,0
2023-06-12,1686528000000,IOTAETH,0.00009050,0.00009120,0.00008900,0.00009100,60749.00000000,1686614399999,5.48227160,120,33008.00000000,2.98204040,0
2023-06-13,1686614400000,IOTAETH,0.00009100,0.00009150,0.00008950,0.00008980,66775.00000000,1686700799999,6.04442520,97,40668.00000000,3.68570160,0
2023-06-14,1686700800000,IOTAETH,0.00009000,0.00009250,0.00008890,0.00009250,151429.00000000,1686787199999,13.68865440,133,60791.00000000,5.54648350,0
2023-06-15,1686787200000,IOTAETH,0.00009220,0.00009350,0.00008970,0.00009180,89151.00000000,1686873599999,8.15636800,164,31800.00000000,2.91166790,0
2023-06-16,1686873600000,IOTAETH,0.00009190,0.00009280,0.00009070,0.00009190,86129.00000000,1686959999999,7.91356130,93,33308.00000000,3.08012830,0
2023-06-17,1686960000000,IOTAETH,0.00009200,0.00009330,0.00009150,0.00009220,22285.00000000,1687046399999,2.06209210,39,7474.00000000,0.69419230,0
2023-06-18,1687046400000,IOTAETH,0.00009150,0.00009280,0.00009100,0.00009220,44878.00000000,1687132799999,4.13642570,82,23195.00000000,2.14222710,0
2023-06-19,1687132800000,IOTAETH,0.00009190,0.00009320,0.00009090,0.00009110,52743.00000000,1687219199999,4.86107570,92,20276.00000000,1.87464850,0
2023-06-20,1687219200000,IOTAETH,0.00009150,0.00009290,0.00009080,0.00009260,48512.00000000,1687305599999,4.46869150,77,35062.00000000,3.23240040,0
2023-06-21,1687305600000,IOTAETH,0.00009280,0.00009290,0.00009000,0.00009080,57452.00000000,1687391999999,5.24764860,98,19134.00000000,1.75349900,0
2023-06-22,1687392000000,IOTAETH,0.00009120,0.00009260,0.00008930,0.00009140,21148.00000000,1687478399999,1.92020990,70,14803.00000000,1.34210730,0
2023-06-23,1687478400000,IOTAETH,0.00009130,0.00009500,0.00009110,0.00009500,26742.00000000,1687564799999,2.48650850,143,16646.00000000,1.54910290,0
2023-06-24,1687564800000,IOTAETH,0.00009560,0.00009670,0.00009430,0.00009640,62003.00000000,1687651199999,5.91345570,97,19331.00000000,1.85195960,0
2023-06-25,1687651200000,IOTAETH,0.00009700,0.00009850,0.00009480,0.00009590,35038.00000000,1687737599999,3.40840620,81,10927.00000000,1.06466550,0
2023-06-26,1687737600000,IOTAETH,0.00009460,0.00009820,0.00009420,0.00009670,46863.00000000,1687823999999,4.52120890,116,27866.00000000,2.69302530,0
2023-06-27,1687824000000,IOTAETH,0.00009820,0.00011000,0.00009610,0.00009760,220187.00000000,1687910399999,22.36656090,294,120973.00000000,12.47671850,0
2023-06-28,1687910400000,IOTAETH,0.00009690,0.00009700,0.00009300,0.00009550,77760.00000000,1687996799999,7.42244660,99,14461.00000000,1.36852670,0
2023-06-29,1687996800000,IOTAETH,0.00009580,0.00009630,0.00009470,0.00009590,23195.00000000,1688083199999,2.21093370,48,6512.00000000,0.62165010,0
2023-06-30,1688083200000,IOTAETH,0.00009610,0.00009780,0.00009260,0.00009460,87547.00000000,1688169599999,8.40289100,113,36454.00000000,3.52708180,0
2023-07-01,1688169600000,IOTAETH,0.00009570,0.00009650,0.00009490,0.00009630,30925.00000000,1688255999999,2.96316930,66,15118.00000000,1.45236780,0
2023-07-02,1688256000000,IOTAETH,0.00009620,0.00009620,0.00009430,0.00009570,40113.00000000,1688342399999,3.81228250,64,14405.00000000,1.37225240,0
2023-07-03,1688342400000,IOTAETH,0.00009440,0.00009590,0.00009350,0.00009500,29693.00000000,1688428799999,2.80799610,45,9483.00000000,0.90286760,0
2023-07-04,1688428800000,IOTAETH,0.00009510,0.00009660,0.00009470,0.00009580,29240.00000000,1688515199999,2.78607950,54,2817.00000000,0.26952500,0
2023-07-05,1688515200000,IOTAETH,0.00009660,0.00009880,0.00009520,0.00009570,55553.00000000,1688601599999,5.34837350,109,15032.00000000,1.44811360,0
2023-07-06,1688601600000,IOTAETH,0.00009640,0.00009880,0.00009480,0.00009680,86322.00000000,1688687999999,8.36675270,124,47134.00000000,4.58835540,0
2023-07-07,1688688000000,IOTAETH,0.00009650,0.00009890,0.00009650,0.00009700,61188.00000000,1688774399999,5.95726400,62,32407.00000000,3.14936900,0
2023-07-08,1688774400000,IOTAETH,0.00009750,0.00009850,0.00009660,0.00009740,24347.00000000,1688860799999,2.37496990,49,9714.00000000,0.94783660,0
2023-07-09,1688860800000,IOTAETH,0.00009740,0.00009770,0.00009660,0.00009770,21193.00000000,1688947199999,2.05707700,30,9237.00000000,0.89457100,0
2023-07-10,1688947200000,IOTAETH,0.00009590,0.00009650,0.00009490,0.00009500,30046.00000000,1689033599999,2.87983020,57,3224.00000000,0.30866950,0
2023-07-11,1689033600000,IOTAETH,0.00009490,0.00009560,0.00009480,0.00009520,15272.00000000,1689119999999,1.45285570,32,3211.00000000,0.30616090,0
2023-07-12,1689120000000,IOTAETH,0.00009650,0.00009800,0.00009520,0.00009640,61447.00000000,1689206399999,5.92146030,82,36130.00000000,3.48037210,0
2023-07-13,1689206400000,IOTAETH,0.00009640,0.00009730,0.00009470,0.00009690,97986.00000000,1689292799999,9.42259910,344,43758.00000000,4.21176950,0
2023-07-14,1689292800000,IOTAETH,0.00009690,0.00009810,0.00009460,0.00009750,142260.00000000,1689379199999,13.71175120,489,71526.00000000,6.90968680,0
2023-07-15,1689379200000,IOTAETH,0.00009730,0.00010090,0.00009700,0.00009940,63156.00000000,1689465599999,6.27156400,277,37040.00000000,3.68114730,0
2023-07-16,1689465600000,IOTAETH,0.00010000,0.00010190,0.00009790,0.00009880,105605.00000000,1689551999999,10.55221270,305,60603.00000000,6.07077540,0
2023-07-17,1689552000000,IOTAETH,0.00009870,0.00010120,0.00009860,0.00010110,81593.00000000,1689638399999,8.17356350,284,47900.00000000,4.79830140,0
2023-07-18,1689638400000,IOTAETH,0.00010130,0.00010130,0.00009640,0.00009730,35819.00000000,1689724799999,3.52320080,113,15804.00000000,1.55020470,0
2023-07-19,1689724800000,IOTAETH,0.00009740,0.00009750,0.00009540,0.00009740,33791.00000000,1689811199999,3.25076360,90,5331.00000000,0.51313080,0
2023-07-20,1689811200000,IOTAETH,0.00009700,0.00009810,0.00009590,0.00009710,52112.00000000,1689897599999,5.04379680,92,25629.00000000,2.47704930,0
2023-07-21,1689897600000,IOTAETH,0.00009720,0.00009790,0.00009620,0.00009720,20978.00000000,1689983999999,2.03342410,31,3792.00000000,0.36717720,0
2023-07-22,1689984000000,IOTAETH,0.00009790,0.00009990,0.00009750,0.00009890,34965.00000000,1690070399999,3.44039630,60,16230.00000000,1.60446790,0
