date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-05-12,1683849600000,LRCBTC,0.00001046,0.00001086,0.00001036,0.00001072,679358.00000000,1683935999999,7.22763169,1353,347955.00000000,3.69975327,0
2023-05-13,1683936000000,LRCBTC,0.00001075,0.00001075,0.00001057,0.00001061,631564.00000000,1684022399999,6.73718630,692,145999.00000000,1.55369050,0
2023-05-14,1684022400000,LRCBTC,0.00001062,0.00001074,0.00001053,0.00001072,359536.00000000,1684108799999,3.82801188,608,200755.00000000,2.13798741,0
2023-05-15,1684108800000,LRCBTC,0.00001072,0.00001078,0.00001057,0.00001078,331434.00000000,1684195199999,3.53493938,835,153857.00000000,1.64376069,0
2023-05-16,1684195200000,LRCBTC,0.00001077,0.00001100,0.00001073,0.00001099,344277.00000000,1684281599999,3.73686636,533,238690.00000000,2.59136592,0
2023-05-17,1684281600000,LRCBTC,0.00001099,0.00001129,0.00001092,0.00001115,359408.00000000,1684367999999,3.99561000,952,196761.00000000,2.18824188,0
2023-05-18,1684368000000,LRCBTC,0.00001112,0.00001115,0.00001093,0.00001106,289307.00000000,1684454399999,3.18980611,810,160461.00000000,1.76952016,0
2023-05-19,1684454400000,LRCBTC,0.00001105,0.00001123,0.00001096,0.00001115,150493.00000000,1684540799999,1.67230307,379,67608.00000000,0.75039096,0
2023-05-20,1684540800000,LRCBTC,0.00001113,0.00001113,0.00001096,0.00001101,144809.00000000,1684627199999,1.59550842,349,79319.00000000,0.87413365,0
2023-05-21,1684627200000,LRCBTC,0.00001099,0.00001104,0.00001076,0.00001088,276237.00000000,1684713599999,3.01685560,446,151109.00000000,1.65133907,0
2023-05-22,1684713600000,LRCBTC,0.00001089,0.00001090,0.00001074,0.00001076,374504.00000000,1684799999999,4.04193251,876,233903.00000000,2.52469643,0
2023-05-23,1684800000000,LRCBTC,0.00001079,0.00001091,0.00001069,0.00001078,142489.00000000,1684886399999,1.54384824,400,80494.00000000,0.87285959,0
2023-05-24,1684886400000,LRCBTC,0.00001081,0.00001083,0.00001065,0.00001080,240729.00000000,1684972799999,2.59013990,779,135494.00000000,1.45885891,0
2023-05-25,1684972800000,LRCBTC,0.00001080,0.00001084,0.00001064,0.00001074,660580.00000000,1685059199999,7.13450977,519,72518.00000000,0.78237278,0
2023-05-26,1685059200000,LRCBTC,0.00001072,0.00001084,0.00001064,0.00001068,148171.00000000,1685145599999,1.59134982,503,65695.00000000,0.70638253,0
2023-05-27,1685145600000,LRCBTC,0.00001067,0.00001080,0.00001064,0.00001071,68787.00000000,1685231999999,0.73631320,312,32673.00000000,0.34987681,0
2023-05-28,1685232000000,LRCBTC,0.00001073,0.00001074,0.00001047,0.00001053,609194.00000000,1685318399999,6.46123235,834,528394.00000000,5.60335970,0
2023-05-29,1685318400000,LRCBTC,0.00001052,0.00001059,0.00001045,0.00001053,103563.00000000,1685404799999,1.08859167,942,55767.00000000,0.58643237,0
2023-05-30,1685404800000,LRCBTC,0.00001052,0.00001059,0.00001043,0.00001052,297539.00000000,1685491199999,3.12365881,899,198087.00000000,2.08084432,0
2023-05-31,1685491200000,LRCBTC,0.00001050,0.00001053,0.00001019,0.00001023,152412.00000000,1685577599999,1.58405376,641,77348.00000000,0.80597876,0
2023-06-01,1685577600000,LRCBTC,0.00001023,0.00001029,0.00001002,0.00001014,638227.00000000,1685663999999,6.45880267,1675,128585.00000000,1.30431336,0
2023-06-02,1685664000000,LRCBTC,0.00001013,0.00001040,0.00001009,0.00001030,98722.00000000,1685750399999,1.00779048,354,51995.00000000,0.53090970,0
2023-06-03,1685750400000,LRCBTC,0.00001032,0.00001034,0.00001012,0.00001028,514813.00000000,1685836799999,5.27243278,668,429474.00000000,4.39758192,0
2023-06-04,1685836800000,LRCBTC,0.00001024,0.00001038,0.00001019,0.00001027,98280.00000000,1685923199999,1.01315581,304,44638.00000000,0.46037337,0
2023-06-05,1685923200000,LRCBTC,0.00001027,0.00001032,0.00000958,0.00000989,336678.00000000,1686009599999,3.34457045,1126,126765.00000000,1.26041154,0
2023-06-06,1686009600000,LRCBTC,0.00000989,0.00001008,0.00000963,0.00000966,406795.00000000,1686095999999,4.04752899,1171,100176.00000000,0.99638906,0
2023-06-07,1686096000000,LRCBTC,0.00000963,0.00000969,0.00000921,0.00000923,234248.00000000,1686182399999,2.22132247,869,95905.00000000,0.91211824,0
2023-06-08,1686182400000,LRCBTC,0.00000924,0.00000932,0.00000913,0.00000928,220970.00000000,1686268799999,2.04211617,694,98035.00000000,0.90633246,0
2023-06-09,1686268800000,LRCBTC,0.00000927,0.00000933,0.00000914,0.00000926,146299.00000000,1686355199999,1.35417119,320,56518.00000000,0.52254404,0
2023-06-10,1686355200000,LRCBTC,0.00000925,0.00000925,0.00000742,0.00000816,1360068.00000000,1686441599999,11.11427733,2332,597924.00000000,4.90285314,0
2023-06-11,1686441600000,LRCBTC,0.00000816,0.00000827,0.00000806,0.00000810,383757.00000000,1686527999999,3.12719835,772,177512.00000000,1.44698425,0
2023-06-12,1686528000000,LRCBTC,0.00000809,0.00000829,0.00000796,0.00000825,469024.00000000,1686614399999,3.80792502,948,264574.00000000,2.14825017,0
2023-06-13,1686614400000,LRCBTC,0.00000826,0.00000837,0.00000824,0.00000831,182836.00000000,1686700799999,1.51714707,392,95399.00000000,0.79198319,0
2023-06-14,1686700800000,LRCBTC,0.00000829,0.00000851,0.00000827,0.00000843,881465.00000000,1686787199999,7.37142979,885,503709.00000000,4.19934184,0
2023-06-15,1686787200000,LRCBTC,0.00000840,0.00000848,0.00000827,0.00000837,262682.00000000,1686873599999,2.20577963,649,130409.00000000,1.09589649,0
2023-06-16,1686873600000,LRCBTC,0.00000835,0.00000843,0.00000819,0.00000820,215327.00000000,1686959999999,1.78859907,429,80300.00000000,0.66569848,0
2023-06-17,1686960000000,LRCBTC,0.00000820,0.00000836,0.00000815,0.00000820,857120.00000000,1687046399999,7.14499274,599,93336.00000000,0.77374013,0
2023-06-18,1687046400000,LRCBTC,0.00000821,0.00000822,0.00000798,0.00000802,154231.00000000,1687132799999,1.25353849,346,72372.00000000,0.58886460,0
2023-06-19,1687132800000,LRCBTC,0.00000802,0.00000808,0.00000796,0.00000796,181453.00000000,1687219199999,1.45539367,339,86660.00000000,0.69507483,0
2023-06-20,1687219200000,LRCBTC,0.00000794,0.00000810,0.00000774,0.00000782,1071576.00000000,1687305599999,8.41054875,730,859552.00000000,6.74305906,0
2023-06-21,1687305600000,LRCBTC,0.00000781,0.00000794,0.00000738,0.00000759,862597.00000000,1687391999999,6.53632732,1390,413701.00000000,3.12495249,0
2023-06-22,1687392000000,LRCBTC,0.00000761,0.00000778,0.00000736,0.00000741,471264.00000000,1687478399999,3.56420185,1038,208231.00000000,1.57431904,0
2023-06-23,1687478400000,LRCBTC,0.00000741,0.00000755,0.00000729,0.00000750,387944.00000000,1687564799999,2.88433580,816,202025.00000000,1.50382737,0
2023-06-24,1687564800000,LRCBTC,0.00000744,0.00000860,0.00000743,0.00000796,3492669.00000000,1687651199999,27.82648279,4918,1776605.00000000,14.16310757,0
2023-06-25,1687651200000,LRCBTC,0.00000794,0.00000814,0.00000788,0.00000788,660911.00000000,1687737599999,5.31104850,1378,373442.00000000,3.00182999,0
2023-06-26,1687737600000,LRCBTC,0.00000787,0.00000791,0.00000751,0.00000763,335251.00000000,1687823999999,2.61099369,922,120834.00000000,0.94152091,0
2023-06-27,1687824000000,LRCBTC,0.00000763,0.00000783,0.00000755,0.00000755,248592.00000000,1687910399999,1.91101095,681,123805.00000000,0.95211775,0
2023-06-28,1687910400000,LRCBTC,0.00000756,0.00000756,0.00000706,0.00000723,757260.00000000,1687996799999,5.61705441,1155,327592.00000000,2.42755691,0
2023-06-29,1687996800000,LRCBTC,0.00000724,0.00000731,0.00000720,0.00000724,318356.00000000,1688083199999,2.30837475,520,95127.00000000,0.69102173,0
2023-06-30,1688083200000,LRCBTC,0.00000725,0.00000763,0.00000718,0.00000758,412990.00000000,1688169599999,3.06367455,817,134141.00000000,0.99367694,0
2023-07-01,1688169600000,LRCBTC,0.00000758,0.00000778,0.00000757,0.00000778,295341.00000000,1688255999999,2.27056356,565,138830.00000000,1.06859044,0
2023-07-02,1688256000000,LRCBTC,0.00000779,0.00000785,0.00000755,0.00000783,323885.00000000,1688342399999,2.48505510,729,208084.00000000,1.59896470,0
2023-07-03,1688342400000,LRCBTC,0.00000785,0.00000804,0.00000780,0.00000791,293483.00000000,1688428799999,2.32138702,1217,146642.00000000,1.16163726,0
2023-07-04,1688428800000,LRCBTC,0.00000791,0.00000823,0.00000779,0.00000783,447133.00000000,1688515199999,3.58135465,2139,214718.00000000,1.72379676,0
2023-07-05,1688515200000,LRCBTC,0.00000784,0.00000799,0.00000761,0.00000766,363292.00000000,1688601599999,2.81712462,1356,178486.00000000,1.38603250,0
2023-07-06,1688601600000,LRCBTC,0.00000767,0.00000777,0.00000750,0.00000756,174140.00000000,1688687999999,1.33218782,487,71255.00000000,0.54543156,0
2023-07-07,1688688000000,LRCBTC,0.00000754,0.00000761,0.00000742,0.00000754,425269.00000000,1688774399999,3.20083114,1071,206049.00000000,1.55624753,0
2023-07-08,1688774400000,LRCBTC,0.00000756,0.00000762,0.00000741,0.00000753,93291.00000000,1688860799999,0.70171841,326,41453.00000000,0.31232074,0
2023-07-09,1688860800000,LRCBTC,0.00000753,0.00000760,0.00000738,0.00000741,67584.00000000,1688947199999,0.50616823,177,26768.00000000,0.20097972,0
2023-07-10,1688947200000,LRCBTC,0.00000737,0.00000749,0.00000724,0.00000746,217589.00000000,1689033599999,1.58971498,345,51850.00000000,0.38084893,0
2023-07-11,1689033600000,LRCBTC,0.00000746,0.00000749,0.00000734,0.00000741,69504.00000000,1689119999999,0.51559954,157,28537.00000000,0.21196007,0
2023-07-12,1689120000000,LRCBTC,0.00000743,0.00000750,0.00000737,0.00000750,114748.00000000,1689206399999,0.85438313,244,36456.00000000,0.27190269,0
2023-07-13,1689206400000,LRCBTC,0.00000752,0.00000776,0.00000747,0.00000770,416037.00000000,1689292799999,3.17963893,853,210512.00000000,1.60917074,0
2023-07-14,1689292800000,LRCBTC,0.00000774,0.00000813,0.00000761,0.00000780,941043.00000000,1689379199999,7.34209928,1600,541012.00000000,4.22295737,0
2023-07-15,1689379200000,LRCBTC,0.00000781,0.00000798,0.00000772,0.00000785,413608.00000000,1689465599999,3.23808493,737,178231.00000000,1.39423191,0
