date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2019-06-12,1560297600000,MCOBTC,0.00084000,0.00084700,0.00079300,0.00081500,112244.35000000,1560383999999,90.96598992,5166,52405.34000000,42.49133230,0
2019-06-13,1560384000000,MCOBTC,0.00081500,0.00081800,0.00078700,0.00079300,66777.99000000,1560470399999,53.54200586,2837,23427.46000000,18.80071014,0
2019-06-14,1560470400000,MCOBTC,0.00079500,0.00079700,0.00072400,0.00073000,151885.62000000,1560556799999,115.24006812,5524,61553.89000000,46.58061531,0
2019-06-15,1560556800000,MCOBTC,0.00073300,0.00074500,0.00069800,0.00070600,111064.61000000,1560643199999,80.08193743,4005,47446.20000000,34.31897989,0
2019-06-16,1560643200000,MCOBTC,0.00070600,0.00070800,0.00067100,0.00069800,113634.70000000,1560729599999,78.04263399,4483,46470.24000000,31.94542655,0
2019-06-17,1560729600000,MCOBTC,0.00070000,0.00070600,0.00066000,0.00066700,70166.80000000,1560815999999,47.66319834,3407,33819.36000000,22.99553364,0
2019-06-18,1560816000000,MCOBTC,0.00066700,0.00069000,0.00066200,0.00069000,51585.05000000,1560902399999,34.78179103,2501,23898.69000000,16.12084644,0
2019-06-19,1560902400000,MCOBTC,0.00068800,0.00070000,0.00067900,0.00068400,79091.48000000,1560988799999,54.29293816,2941,35453.81000000,24.39241149,0
2019-06-20,1560988800000,MCOBTC,0.00068400,0.00068700,0.00062800,0.00063900,354431.08000000,1561075199999,229.65062854,7611,128090.46000000,83.15674663,0
2019-06-21,1561075200000,MCOBTC,0.00063700,0.00063900,0.00059500,0.00059700,165098.86000000,1561161599999,101.95870342,4822,53691.33000000,33.24688625,0
2019-06-22,1561161600000,MCOBTC,0.00059800,0.00060600,0.00053800,0.00057200,355583.15000000,1561247999999,200.93687645,9575,145695.92000000,82.46665540,0
2019-06-23,1561248000000,MCOBTC,0.00057200,0.00059600,0.00055700,0.00057100,152780.01000000,1561334399999,88.67861180,5725,71044.88000000,41.28964152,0
2019-06-24,1561334400000,MCOBTC,0.00057100,0.00059500,0.00056000,0.00056600,105579.15000000,1561420799999,60.45275615,4140,47523.55000000,27.25506865,0
2019-06-25,1561420800000,MCOBTC,0.00056400,0.00070000,0.00055100,0.00064200,1119013.12000000,1561507199999,723.13341475,29624,523634.66000000,339.56248667,0
2019-06-26,1561507200000,MCOBTC,0.00064100,0.00064900,0.00046100,0.00049100,779007.47000000,1561593599999,418.20952260,21637,348769.88000000,185.67129309,0
2019-06-27,1561593600000,MCOBTC,0.00049100,0.00054000,0.00048200,0.00051200,381270.11000000,1561679999999,193.26174862,12279,186745.06000000,94.67869500,0
2019-06-28,1561680000000,MCOBTC,0.00051200,0.00053500,0.00049100,0.00050300,120803.83000000,1561766399999,61.99487659,5854,56113.63000000,28.79246414,0
2019-06-29,1561766400000,MCOBTC,0.00050300,0.00053100,0.00049800,0.00052300,121722.00000000,1561852799999,62.69252280,5257,63621.26000000,32.80012500,0
2019-06-30,1561852800000,MCOBTC,0.00052300,0.00054900,0.00051500,0.00054200,106026.64000000,1561939199999,56.10153151,4824,54924.73000000,29.11332839,0
2019-07-01,1561939200000,MCOBTC,0.00054100,0.00060700,0.00054000,0.00058800,320022.25000000,1562025599999,186.30948729,12410,167217.60000000,97.61606585,0
2019-07-02,1562025600000,MCOBTC,0.00058800,0.00059800,0.00055200,0.00056300,135831.39000000,1562111999999,79.00422453,5759,65881.54000000,38.43430330,0
2019-07-03,1562112000000,MCOBTC,0.00056300,0.00057400,0.00049800,0.00051200,177667.74000000,1562198399999,94.37323513,5991,79084.96000000,42.10891243,0
2019-07-04,1562198400000,MCOBTC,0.00051200,0.00053700,0.00050400,0.00053400,95197.91000000,1562284799999,49.27999640,3853,45135.93000000,23.38189068,0
2019-07-05,1562284800000,MCOBTC,0.00053300,0.00056700,0.00052000,0.00054000,244626.96000000,1562371199999,132.49190083,7490,123899.03000000,67.21499799,0
2019-07-06,1562371200000,MCOBTC,0.00054100,0.00055200,0.00051200,0.00053200,126300.60000000,1562457599999,67.47983121,4908,56848.49000000,30.43013004,0
2019-07-07,1562457600000,MCOBTC,0.00053300,0.00054500,0.00052300,0.00053000,65762.75000000,1562543999999,35.13845884,2409,28488.90000000,15.23597349,0
2019-07-08,1562544000000,MCOBTC,0.00053000,0.00056000,0.00048500,0.00049200,184473.41000000,1562630399999,96.48393322,5837,79822.28000000,41.90266789,0
2019-07-09,1562630400000,MCOBTC,0.00049300,0.00050100,0.00046600,0.00047400,116829.83000000,1562716799999,56.04889326,4369,64484.27000000,30.93217113,0
2019-07-10,1562716800000,MCOBTC,0.00047500,0.00050000,0.00045000,0.00048500,139197.15000000,1562803199999,66.07888903,5743,65552.39000000,31.15546938,0
2019-07-11,1562803200000,MCOBTC,0.00048500,0.00049300,0.00046000,0.00048600,133880.20000000,1562889599999,64.04306587,6530,55062.79000000,26.42913392,0
2019-07-12,1562889600000,MCOBTC,0.00048500,0.00050900,0.00047200,0.00047900,108651.28000000,1562975999999,53.11538705,5219,51760.18000000,25.33257452,0
2019-07-13,1562976000000,MCOBTC,0.00047900,0.00051500,0.00047700,0.00049700,61241.11000000,1563062399999,30.25678876,2852,27887.42000000,13.80731605,0
2019-07-14,1563062400000,MCOBTC,0.00049700,0.00053500,0.00049200,0.00051500,146699.12000000,1563148799999,75.11883870,7861,66833.85000000,34.21577525,0
2019-07-15,1563148800000,MCOBTC,0.00051800,0.00052000,0.00045300,0.00046800,157105.78000000,1563235199999,75.63685729,7352,74367.74000000,35.86316273,0
2019-07-16,1563235200000,MCOBTC,0.00046800,0.00048200,0.00041900,0.00042100,239774.07000000,1563321599999,106.08297455,11143,81802.77000000,36.29693338,0
2019-07-17,1563321600000,MCOBTC,0.00042200,0.00053000,0.00042000,0.00046300,437220.82000000,1563407999999,212.49049232,16152,173836.15000000,84.38569431,0
2019-07-18,1563408000000,MCOBTC,0.00046200,0.00047600,0.00043300,0.00044100,202623.13000000,1563494399999,92.18590102,8308,89600.43000000,40.86954859,0
2019-07-19,1563494400000,MCOBTC,0.00044000,0.00044400,0.00042500,0.00044000,70811.99000000,1563580799999,30.92877739,3656,31644.20000000,13.86486249,0
2019-07-20,1563580800000,MCOBTC,0.00044000,0.00044700,0.00043100,0.00044000,79236.33000000,1563667199999,34.81429249,3712,39650.87000000,17.42586773,0
2019-07-21,1563667200000,MCOBTC,0.00044100,0.00044300,0.00043100,0.00043700,50749.98000000,1563753599999,22.19696846,2398,24730.52000000,10.83037863,0
2019-07-22,1563753600000,MCOBTC,0.00043700,0.00045900,0.00043200,0.00043800,184835.91000000,1563839999999,81.78094565,5687,106818.99000000,47.35822523,0
2019-07-23,1563840000000,MCOBTC,0.00043800,0.00044500,0.00043200,0.00044000,85374.84000000,1563926399999,37.41804680,3085,42128.15000000,18.49984412,0
2019-07-24,1563926400000,MCOBTC,0.00044000,0.00061100,0.00043600,0.00048000,1105538.02000000,1564012799999,577.92597173,32770,586971.87000000,307.85821931,0
2019-07-25,1564012800000,MCOBTC,0.00048200,0.00048400,0.00046000,0.00046500,162745.29000000,1564099199999,76.51223919,7376,64851.44000000,30.49249420,0
2019-07-26,1564099200000,MCOBTC,0.00046400,0.00047200,0.00045200,0.00046200,113899.14000000,1564185599999,52.58636232,4605,50707.89000000,23.47998337,0
2019-07-27,1564185600000,MCOBTC,0.00046000,0.00046100,0.00044700,0.00045200,72888.18000000,1564271999999,33.02557747,2804,27996.78000000,12.71703830,0
2019-07-28,1564272000000,MCOBTC,0.00045300,0.00048000,0.00045100,0.00046500,110965.31000000,1564358399999,51.79282993,4020,50215.67000000,23.44609845,0
