date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-05-12,1683849600000,QTUMBTC,0.00009410,0.00009730,0.00009370,0.00009700,24477.90000000,1683935999999,2.32932366,697,19490.90000000,1.85421558,0
2023-05-13,1683936000000,QTUMBTC,0.00009690,0.00009690,0.00009430,0.00009480,14057.10000000,1684022399999,1.34012139,384,5411.60000000,0.51737261,0
2023-05-14,1684022400000,QTUMBTC,0.00009470,0.00009530,0.00009420,0.00009520,4127.20000000,1684108799999,0.39136773,326,2408.00000000,0.22851420,0
2023-05-15,1684108800000,QTUMBTC,0.00009510,0.00009630,0.00009410,0.00009580,10317.10000000,1684195199999,0.98381977,376,7394.50000000,0.70502660,0
2023-05-16,1684195200000,QTUMBTC,0.00009610,0.00009740,0.00009540,0.00009680,4898.00000000,1684281599999,0.47060397,217,2328.70000000,0.22420279,0
2023-05-17,1684281600000,QTUMBTC,0.00009660,0.00009880,0.00009630,0.00009780,11351.40000000,1684367999999,1.10656095,364,6539.90000000,0.63793066,0
2023-05-18,1684368000000,QTUMBTC,0.00009720,0.00009840,0.00009670,0.00009790,10550.60000000,1684454399999,1.02693049,446,6526.40000000,0.63558582,0
2023-05-19,1684454400000,QTUMBTC,0.00009800,0.00009950,0.00009710,0.00009850,10167.10000000,1684540799999,1.00537551,324,6124.40000000,0.60546262,0
2023-05-20,1684540800000,QTUMBTC,0.00009840,0.00009840,0.00009730,0.00009730,4980.40000000,1684627199999,0.48610610,161,2746.00000000,0.26794718,0
2023-05-21,1684627200000,QTUMBTC,0.00009720,0.00009730,0.00009560,0.00009560,3094.10000000,1684713599999,0.29850800,268,1193.00000000,0.11512941,0
2023-05-22,1684713600000,QTUMBTC,0.00009560,0.00009910,0.00009470,0.00009810,12623.10000000,1684799999999,1.22326471,597,7704.70000000,0.74730096,0
2023-05-23,1684800000000,QTUMBTC,0.00009780,0.00010140,0.00009650,0.00009960,17269.10000000,1684886399999,1.71435140,792,10326.80000000,1.02797589,0
2023-05-24,1684886400000,QTUMBTC,0.00009960,0.00010440,0.00009850,0.00010390,99050.10000000,1684972799999,10.18091309,1629,13833.20000000,1.41766611,0
2023-05-25,1684972800000,QTUMBTC,0.00010390,0.00010550,0.00009700,0.00009770,171762.40000000,1685059199999,17.27061713,1637,119935.10000000,11.98489169,0
2023-05-26,1685059200000,QTUMBTC,0.00009750,0.00009880,0.00009700,0.00009750,8303.00000000,1685145599999,0.81276381,505,4351.80000000,0.42633242,0
2023-05-27,1685145600000,QTUMBTC,0.00009740,0.00010260,0.00009690,0.00010080,94421.90000000,1685231999999,9.30222572,1315,11646.30000000,1.16048583,0
2023-05-28,1685232000000,QTUMBTC,0.00010070,0.00010150,0.00009810,0.00009870,88900.00000000,1685318399999,8.88244689,867,78573.90000000,7.85071852,0
2023-05-29,1685318400000,QTUMBTC,0.00009860,0.00010020,0.00009840,0.00009860,10500.70000000,1685404799999,1.04211684,527,4158.30000000,0.41283042,0
2023-05-30,1685404800000,QTUMBTC,0.00009860,0.00009870,0.00009700,0.00009750,11868.10000000,1685491199999,1.15855809,341,5450.30000000,0.53214790,0
2023-05-31,1685491200000,QTUMBTC,0.00009750,0.00009750,0.00009510,0.00009640,8277.60000000,1685577599999,0.79654339,485,4449.60000000,0.42835393,0
2023-06-01,1685577600000,QTUMBTC,0.00009610,0.00009640,0.00009510,0.00009620,6145.70000000,1685663999999,0.58899866,388,1770.00000000,0.16986814,0
2023-06-02,1685664000000,QTUMBTC,0.00009620,0.00009730,0.00009620,0.00009710,3704.40000000,1685750399999,0.35858923,282,1970.10000000,0.19061774,0
2023-06-03,1685750400000,QTUMBTC,0.00009710,0.00009900,0.00009680,0.00009870,8034.30000000,1685836799999,0.78842079,687,4468.10000000,0.43841955,0
2023-06-04,1685836800000,QTUMBTC,0.00009860,0.00009940,0.00009720,0.00009850,5735.50000000,1685923199999,0.56567994,430,2646.90000000,0.26157185,0
2023-06-05,1685923200000,QTUMBTC,0.00009860,0.00009880,0.00009300,0.00009570,12168.20000000,1686009599999,1.16331965,818,5579.00000000,0.53198404,0
2023-06-06,1686009600000,QTUMBTC,0.00009570,0.00009580,0.00009190,0.00009230,11855.80000000,1686095999999,1.11782014,545,4279.30000000,0.40452190,0
2023-06-07,1686096000000,QTUMBTC,0.00009220,0.00009290,0.00008950,0.00009000,6510.40000000,1686182399999,0.59217564,663,2708.70000000,0.24706055,0
2023-06-08,1686182400000,QTUMBTC,0.00008990,0.00009020,0.00008830,0.00008880,5424.80000000,1686268799999,0.48227472,306,1646.80000000,0.14676509,0
2023-06-09,1686268800000,QTUMBTC,0.00008870,0.00008920,0.00008770,0.00008840,7302.70000000,1686355199999,0.64632503,329,3899.80000000,0.34560013,0
2023-06-10,1686355200000,QTUMBTC,0.00008810,0.00008810,0.00007070,0.00008070,49964.95000000,1686441599999,3.90564645,1778,26153.50000000,2.04851129,0
2023-06-11,1686441600000,QTUMBTC,0.00008080,0.00008190,0.00008040,0.00008140,6479.10000000,1686527999999,0.52603994,319,2634.00000000,0.21398161,0
2023-06-12,1686528000000,QTUMBTC,0.00008130,0.00008250,0.00007970,0.00008210,6232.50000000,1686614399999,0.50449101,554,3560.60000000,0.28860616,0
2023-06-13,1686614400000,QTUMBTC,0.00008210,0.00008300,0.00008180,0.00008180,3949.50000000,1686700799999,0.32532946,100,1379.40000000,0.11393907,0
2023-06-14,1686700800000,QTUMBTC,0.00008180,0.00008180,0.00007940,0.00008000,7104.50000000,1686787199999,0.57169464,226,3609.50000000,0.28986436,0
2023-06-15,1686787200000,QTUMBTC,0.00007990,0.00008240,0.00007990,0.00008030,14887.30000000,1686873599999,1.21085971,848,7743.60000000,0.62973050,0
2023-06-16,1686873600000,QTUMBTC,0.00008030,0.00008100,0.00007840,0.00007870,7644.50000000,1686959999999,0.60696247,539,4278.70000000,0.33947895,0
