date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2023-05-12,1683849600000,ZECETH,0.01805000,0.01834000,0.01803000,0.01820000,743.25000000,1683935999999,13.47370585,156,363.92700000,6.59661659,0
2023-05-13,1683936000000,ZECETH,0.01815000,0.01825000,0.01805000,0.01816000,42.97100000,1684022399999,0.77994664,17,30.32400000,0.55123084,0
2023-05-14,1684022400000,ZECETH,0.01800000,0.01828000,0.01796000,0.01828000,117.29100000,1684108799999,2.12597190,36,29.63500000,0.53847847,0
2023-05-15,1684108800000,ZECETH,0.01824000,0.01838000,0.01808000,0.01816000,190.60200000,1684195199999,3.46768491,72,50.76000000,0.92726791,0
2023-05-16,1684195200000,ZECETH,0.01823000,0.01823000,0.01802000,0.01821000,97.78000000,1684281599999,1.76560620,22,1.90700000,0.03471573,0
2023-05-17,1684281600000,ZECETH,0.01811000,0.01871000,0.01811000,0.01864000,454.88300000,1684367999999,8.43457108,101,341.17500000,6.33076315,0
2023-05-18,1684368000000,ZECETH,0.01876000,0.01876000,0.01843000,0.01861000,797.76800000,1684454399999,14.76532798,88,453.29200000,8.37730829,0
2023-05-19,1684454400000,ZECETH,0.01865000,0.01878000,0.01840000,0.01849000,255.80900000,1684540799999,4.75126259,78,126.47300000,2.35558941,0
2023-05-20,1684540800000,ZECETH,0.01834000,0.01846000,0.01804000,0.01821000,237.77800000,1684627199999,4.33841410,64,130.67500000,2.38434563,0
2023-05-21,1684627200000,ZECETH,0.01819000,0.01829000,0.01780000,0.01780000,364.35000000,1684713599999,6.56357530,81,107.54200000,1.95081339,0
2023-05-22,1684713600000,ZECETH,0.01785000,0.01788000,0.01755000,0.01769000,333.71600000,1684799999999,5.89635011,102,99.92700000,1.77070447,0
2023-05-23,1684800000000,ZECETH,0.01755000,0.01760000,0.01739000,0.01744000,132.71500000,1684886399999,2.32104104,39,55.55600000,0.97340562,0
2023-05-24,1684886400000,ZECETH,0.01734000,0.01749000,0.01710000,0.01722000,357.30500000,1684972799999,6.18660987,145,192.38500000,3.33702976,0
2023-05-25,1684972800000,ZECETH,0.01717000,0.01800000,0.01704000,0.01727000,460.87600000,1685059199999,8.06523207,150,333.13400000,5.83068283,0
2023-05-26,1685059200000,ZECETH,0.01721000,0.01836000,0.01716000,0.01789000,761.79600000,1685145599999,13.56734594,159,473.00300000,8.45416045,0
2023-05-27,1685145600000,ZECETH,0.01777000,0.01789000,0.01769000,0.01771000,110.19400000,1685231999999,1.96012779,46,13.33100000,0.23775728,0
2023-05-28,1685232000000,ZECETH,0.01787000,0.01816000,0.01783000,0.01788000,133.10900000,1685318399999,2.38925684,38,36.54800000,0.65926454,0
2023-05-29,1685318400000,ZECETH,0.01786000,0.01786000,0.01771000,0.01783000,69.32400000,1685404799999,1.23636817,18,0.00000000,0.00000000,0
2023-05-30,1685404800000,ZECETH,0.01781000,0.01796000,0.01756000,0.01782000,358.58700000,1685491199999,6.37272003,100,286.57800000,5.09667228,0
2023-05-31,1685491200000,ZECETH,0.01777000,0.01781000,0.01717000,0.01718000,405.01300000,1685577599999,7.06505766,117,66.93400000,1.16220630,0
2023-06-01,1685577600000,ZECETH,0.01716000,0.01728000,0.01690000,0.01692000,203.86700000,1685663999999,3.47746792,80,30.20900000,0.51844655,0
2023-06-02,1685664000000,ZECETH,0.01697000,0.01704000,0.01672000,0.01680000,170.36700000,1685750399999,2.89429035,75,137.55700000,2.33943542,0
2023-06-03,1685750400000,ZECETH,0.01685000,0.01700000,0.01685000,0.01700000,57.86900000,1685836799999,0.97989204,26,27.41100000,0.46422438,0
2023-06-04,1685836800000,ZECETH,0.01702000,0.01711000,0.01686000,0.01686000,37.74000000,1685923199999,0.64027951,34,11.35600000,0.19354362,0
2023-06-05,1685923200000,ZECETH,0.01694000,0.01699000,0.01582000,0.01616000,1085.64800000,1686009599999,17.88197695,284,587.94700000,9.67213626,0
2023-06-06,1686009600000,ZECETH,0.01612000,0.01668000,0.01585000,0.01599000,551.36600000,1686095999999,8.85837604,156,256.48200000,4.14061779,0
2023-06-07,1686096000000,ZECETH,0.01593000,0.01601000,0.01558000,0.01565000,394.14900000,1686182399999,6.20564199,183,230.35100000,3.63343666,0
